"Damsel"
"Lift"
"Society of the Snow // La sociedad de la nieve"
"Under Paris // Sous la Seine"
"The Super Mario Bros. Movie"
"Mother of the Bride"
"Atlas"
"Minions"
"Irish Wish"
"The Boss Baby"
"Despicable Me 3"
"Woody Woodpecker Goes to Camp"
"Shrek"
"Rebel Moon — Part Two: The Scargiver"
"Rebel Moon — Part One: A Child of Fire"
"Leo"
"Badland Hunters // 황야"
"The Equalizer 3"
"Mea Culpa"
"The Tearsmith // Fabbricante di lacrime"
"Trigger Warning"
"The Abyss // Avgrunden"
"What Jennifer Did"
"The Wages of Fear // Le salaire de la peur"
"Orion and the Dark"
"Code 8 Part II"
"Trolls"
"Colors of Evil: Red // Kolory zła: Czerwień"
"Leave the World Behind"
"Sing 2"
"Sixty Minutes // 60 Minuten"
"Top Gun: Maverick"
"Lover"
"Hotel Transylvania 2"
"Players"
"Heart of the Hunter"
"Despicable Me 2"
"Sing (2016)"
"Through My Window 3: Looking at You // A través de mi ventana 3: A través de tu mirada"
"Thelma the Unicorn"
"Hit Man"
"Dr. Seuss' The Grinch"
"Spaceman"
"Sonic the Hedgehog 2"
"The Croods"
"We Can Be Heroes"
"Ice Age: Dawn of the Dinosaurs"
"No Pressure // Nic na siłę"
"Anyone But You"
"Godzilla Minus One // ゴジラ-1.0"
"The Mother"
"Madame Web"
"Ice Age: Collision Course"
"A Family Affair"
"Love"
"Honeymoonish // شهر زي العسل"
"Despicable Me"
"Extraction 2"
"Red Notice"
"The Secret Life of Pets"
"The Greatest Night in Pop"
"Chicken Run: Dawn of the Nugget"
"The Courier // El correo"
"Glass (2019)"
"Ruby Gillman"
"Madagascar (2005)"
"Minions & More Volume 2"
"Unfrosted"
"Shrek 2"
"Dune (2021)"
"Smurfs: The Lost Village"
"Animal // ऐनिमल"
"Headspace: Unwind Your Mind"
"The Sea Beast"
"Art of Love // Romantik Hırsız"
"Code 8 (2019)"
"Hotel Transylvania (2012)"
"The Little Things (2021)"
"Back to the Outback"
"Einstein and the Bomb"
"Laapataa Ladies // लापता लेडीज़"
"Mindcage"
"Turbo (2013)"
"Home (2015)"
"Fighter // फ़ाइटर"
"The Angry Birds Movie"
"Crew // क्रू"
"Pretty Woman (1990)"
"Scoop"
"The Boss Baby: Get That Baby!"
"John Wick: Chapter 3 - Parabellum"
"The Beautiful Game"
"Heart of Stone"
"The Great Wall (2016)"
"Transformers: Rise of the Beasts"
"Disturbia"
"Kung Fu Panda 3"
"Family Switch"
"Anna (2019)"
"Inheritance // Spadek"
"The Devil Wears Prada"
"A Simple Favor"
"The Boss Baby: Family Business"
"Grown Ups (2010)"
"Matilda (1996)"
"No Hard Feelings (2023)"
"Deep Fear (2023)"
"Reptile"
"The Kitchen"
"The Gray Man"
"Shaitaan // शैतान"
"American Assassin"
"The Accountant (2016)"
"Minions & More Volume 1"
"Ashes // Kül"
"Minions: The Rise of Gru"
"Luther: The Fallen Sun"
"Exodus: Gods and Kings"
"Nowhere"
"Stolen"
"John Wick"
"The Legend of Tarzan (2016)"
"White Chicks"
