"Leave the World Behind","Yes","2023-12-08","286.300.000","2:22","121.000.000","","","","","","",""
"Heart of Stone","Yes","2023-08-11","228.400.000","2:05","109.600.000","","","","","","",""
"Leo","Yes","2023-11-21","171.200.000","1:47","96.000.000","","","","","","",""
"Nowhere","Yes","2023-09-29","156.600.000","1:49","86.200.000","","","","","","",""
"The Out-Laws","Yes","2023-07-07","135.500.000","1:37","83.800.000","","","","","","",""
"Reptile","Yes","2023-09-29","165.600.000","2:16","73.100.000","","","","","","",""
"The Killer","Yes","2023-11-10","135.600.000","2:00","67.800.000","","","","","","",""
"Family Switch","Yes","2023-11-30","109.400.000","1:46","61.900.000","","","","","","",""
"You Are So Not Invited to My Bat Mitzvah","Yes","2023-08-25","105.100.000","1:44","60.600.000","","","","","","",""
"Rebel Moon — Part One: A Child of Fire","Yes","2023-12-21","131.100.000","2:16","57.800.000","","","","","","",""
"Extraction 2","Yes","2023-06-16","111.900.000","2:04","54.100.000","","","","","","",""
"Love at First Sight","Yes","2023-09-15","78.800.000","1:31","52.000.000","","","","","","",""
"Bird Box Barcelona","Yes","2023-07-14","92.000.000","1:52","49.300.000","","","","","","",""
"Best. Christmas. Ever!","Yes","2023-11-16","62.400.000","1:22","45.700.000","","","","","","",""
"Paradise","Yes","2023-07-27","87.500.000","1:59","44.100.000","","","","","","",""
"Forgotten Love // Znachor","Yes","2023-09-27","100.400.000","2:20","43.000.000","","","","","","",""
"Old Dads","Yes","2023-10-20","74.400.000","1:44","42.900.000","","","","","","",""
"The Monkey King","Yes","2023-08-18","69.300.000","1:37","42.900.000","","","","","","",""
"Pain Hustlers","Yes","2023-10-27","86.500.000","2:05","41.500.000","","","","","","",""
"Locked In","Yes","2023-11-01","67.100.000","1:37","41.500.000","","","","","","",""
"Wingwomen // Voleuses","Yes","2023-11-01","77.800.000","1:56","40.200.000","","","","","","",""
"Happiness for Beginners","Yes","2023-07-27","68.400.000","1:46","38.700.000","","","","","","",""
"Fair Play","Yes","2023-10-06","73.600.000","1:55","38.400.000","","","","","","",""
"Ballerina // 발레리나","Yes","2023-10-06","56.700.000","1:34","36.200.000","","","","","","",""
"Chicken Run: Dawn of the Nugget","Yes","2023-12-15","59.800.000","1:42","35.200.000","","","","","","",""
"Nimona","Yes","2023-06-30","53.500.000","1:43","31.200.000","","","","","","",""
"Spy Kids: Armageddon","Yes","2023-09-22","50.900.000","1:38","31.200.000","","","","","","",""
"Burning Betrayal // O Lado Bom de Ser Traída","Yes","2023-10-25","49.700.000","1:39","30.100.000","","","","","","",""
"They Cloned Tyrone","Yes","2023-07-21","58.800.000","2:04","28.500.000","","","","","","",""
"The Black Book","Yes","2023-09-22","58.400.000","2:04","28.300.000","","","","","","",""
"Love is in the Air","Yes","2023-09-28","40.500.000","1:29","27.300.000","","","","","","",""
"The Bad Guys: A Very Bad Holiday","Yes","2023-11-30","9.800.000","0:25","23.500.000","","","","","","",""
"Soulcatcher // Operacja: Soulcatcher","Yes","2023-08-02","39.000.000","1:40","23.400.000","","","","","","",""
"Last Call for Istanbul // İstanbul için son çağrı","Yes","2023-11-24","35.500.000","1:31","23.400.000","","","","","","",""
