"The Great Wall (2016)","No","","32.700.000","1:43","19.000.000","","","","","","null",""
"Transformers: Rise of the Beasts","No","","40.000.000","2:07","18.900.000","","","","","","null",""
"Disturbia","No","","33.100.000","1:45","18.900.000","","","","","","null",""
"Kung Fu Panda 3","No","2016-08-18","30.000.000","1:35","18.900.000","","","","","","null",""
"Family Switch","Yes","2023-11-30","33.300.000","1:46","18.800.000","","","","","","null",""
"Anna (2019)","No","","37.000.000","1:59","18.700.000","","","","","","null",""
"Inheritance // Spadek","Yes","2024-06-19","29.600.000","1:35","18.700.000","","","","","","null",""
"The Devil Wears Prada","No","","33.800.000","1:49","18.600.000","","","","","","null",""
"A Simple Favor","No","","36.000.000","1:57","18.500.000","","","","","","null",""
"The Boss Baby: Family Business","No","","33.000.000","1:47","18.500.000","","","","","","null",""
"Grown Ups (2010)","No","","31.700.000","1:43","18.500.000","","","","","","null",""
"Matilda (1996)","No","","30.000.000","1:38","18.400.000","","","","","","null",""
"No Hard Feelings (2023)","No","","31.700.000","1:44","18.300.000","","","","","","null",""
"Deep Fear (2023)","No","","25.800.000","1:25","18.200.000","","","","","","null",""
"Reptile","Yes","2023-09-29","41.000.000","2:16","18.100.000","","","","","","null",""
"The Kitchen","Yes","2024-01-19","32.900.000","1:49","18.100.000","","","","","","null",""
"The Gray Man","Yes","2022-07-22","38.700.000","2:09","18.000.000","","","","","","null",""
"Shaitaan // शैतान","Yes","","38.100.000","2:08","17.900.000","","","","","","null",""
"American Assassin","No","","33.500.000","1:52","17.900.000","","","","","","null",""
"The Accountant (2016)","No","","37.900.000","2:08","17.800.000","","","","","","null",""
"Minions & More Volume 1","Yes","","14.500.000","0:49","17.800.000","","","","","","null",""
"Ashes // Kül","Yes","2024-02-09","29.600.000","1:41","17.600.000","","","","","","null",""
"Minions: The Rise of Gru","No","","25.700.000","1:28","17.500.000","","","","","","null",""
"Luther: The Fallen Sun","Yes","2023-03-10","37.700.000","2:11","17.300.000","","","","","","null",""
"Exodus: Gods and Kings","No","","43.000.000","2:30","17.200.000","","","","","","null",""
"Nowhere","Yes","2023-09-29","31.300.000","1:49","17.200.000","","","","","","null",""
"Stolen","Yes","2024-04-12","30.600.000","1:47","17.200.000","","","","","","null",""
"John Wick","No","","28.900.000","1:41","17.200.000","","","","","","null",""
"The Legend of Tarzan (2016)","No","","31.000.000","1:50","16.900.000","","","","","","null",""
"White Chicks","No","","30.700.000","1:49","16.900.000","","","","","","null",""
"Cat & Dog // Chien et chat","No","","24.300.000","1:27","16.800.000","","","","","","null",""
"The Emoji Movie","No","","24.300.000","1:27","16.800.000","","","","","","null",""
"The Equalizer (2014)","No","","36.700.000","2:12","16.700.000","","","","","","null",""
"John Wick: Chapter 2","No","","34.000.000","2:02","16.700.000","","","","","","null",""
"The Mitchells vs. The Machines","Yes","2021-04-30","31.500.000","1:54","16.600.000","","","","","","null",""
"Spenser Confidential","Yes","2020-03-06","30.800.000","1:51","16.600.000","","","","","","null",""
"Sniper: Ultimate Kill","No","","25.700.000","1:33","16.600.000","","","","","","null",""
"The Hill (2023)","No","","34.900.000","2:07","16.500.000","","","","","","null",""
"Purple Hearts","Yes","2022-07-29","34.400.000","2:05","16.500.000","","","","","","null",""
"Wish Dragon","Yes","2021-06-11","28.100.000","1:43","16.400.000","","","","","","null",""
"The Maze Runner","No","","30.700.000","1:53","16.300.000","","","","","","null",""
"Queenpins","No","","29.800.000","1:50","16.300.000","","","","","","null",""
"City Hunter // シティーハンター","Yes","2024-04-25","27.900.000","1:44","16.100.000","","","","","","null",""
"Ultraman: Rising","Yes","2024-06-14","32.300.000","2:01","16.000.000","","","","","","null",""
"Your Place or Mine","Yes","2023-02-10","29.500.000","1:51","15.900.000","","","","","","null",""
"Grown Ups 2","No","","26.500.000","1:41","15.700.000","","","","","","null",""
"Dunki // डंकी","No","","41.500.000","2:40","15.600.000","","","","","","null",""
"The Killer","Yes","2023-11-10","31.200.000","2:00","15.600.000","","","","","","null",""
"Hidden Strike","No","","26.700.000","1:43","15.600.000","","","","","","null",""
"Aquaman (2018)","No","","36.900.000","2:23","15.500.000","","","","","","null",""
"The Book of Life (2014)","No","","25.100.000","1:37","15.500.000","","","","","","null",""
"The Adventures of Sharkboy and Lavagirl","No","","24.100.000","1:33","15.500.000","","","","","","null",""
"Transporter 2","No","","22.700.000","1:28","15.500.000","","","","","","null",""
"Meg 2: The Trench","No","","29.800.000","1:56","15.400.000","","","","","","null",""
"Puss in Boots: The Last Wish","No","","26.000.000","1:42","15.300.000","","","","","","null",""
"Shooter (2007)","No","","31.500.000","2:05","15.100.000","","","","","","null",""
"The Proposal (2009)","No","","26.600.000","1:47","14.900.000","","","","","","null",""
"Spy Kids: Armageddon","Yes","2023-09-22","24.400.000","1:38","14.900.000","","","","","","null",""
"Murder Mystery 2","Yes","2023-03-31","22.400.000","1:31","14.800.000","","","","","","null",""
"The Lost City (2022)","No","","27.500.000","1:52","14.700.000","","","","","","null",""
"In Good Hands 2 // Sen Büyümeye Bak","Yes","2024-05-23","24.300.000","1:40","14.600.000","","","","","","null",""
"Spider-Man: Across the Spider-Verse","No","","33.800.000","2:20","14.500.000","","","","","","null",""
"The Fate of the Furious","No","","32.600.000","2:16","14.400.000","","","","","","null",""
"The Highwaymen","Yes","2019-03-29","31.700.000","2:12","14.400.000","","","","","","null",""
"Thanksgiving (2023)","No","","25.500.000","1:46","14.400.000","","","","","","null",""
"The Judge (2014)","No","","33.600.000","2:21","14.300.000","","","","","","null",""
"Blended (2014)","No","","27.900.000","1:57","14.300.000","","","","","","null",""
"Wonder","No","","26.900.000","1:53","14.300.000","","","","","","null",""
"The SpongeBob Movie: Sponge on the Run","No","2020-11-05","22.600.000","1:35","14.300.000","","","","","","null",""
"Rest In Peace // Descansar en paz","Yes","2024-03-27","25.300.000","1:47","14.200.000","","","","","","null",""
"Miraculous: Ladybug & Cat Noir"," The Movie","No","2023-07-28","24.200.000","1:42","14.200.000","","","","","null",""
"Those Who Wish Me Dead","No","","23.700.000","1:40","14.200.000","","","","","","null",""
"Ford v. Ferrari","No","","35.700.000","2:33","14.000.000","","","","","","null",""
"The Casagrandes Movie","Yes","2024-03-22","19.800.000","1:25","14.000.000","","","","","","null",""
"Just Go With It","No","","27.100.000","1:57","13.900.000","","","","","","null",""
"Barbarian","No","","24.100.000","1:44","13.900.000","","","","","","null",""
"Baby Driver","No","","26.000.000","1:53","13.800.000","","","","","","null",""
"Bhakshak // भक्षक","Yes","2024-02-09","30.800.000","2:15","13.700.000","","","","","","null",""
"Gran Turismo: Based on a True Story","No","","30.700.000","2:14","13.700.000","","","","","","null",""
"Smile (2022)","No","","26.400.000","1:56","13.700.000","","","","","","null",""
"Hack Your Health: The Secrets of Your Gut","Yes","2024-04-26","18.300.000","1:20","13.700.000","","","","","","null",""
"Mission: Impossible - Dead Reckoning","No","","36.800.000","2:44","13.500.000","","","","","","null",""
"Hellboy (2019)","No","","27.200.000","2:01","13.500.000","","","","","","null",""
"Through My Window // A través de mi ventana","Yes","2022-02-04","25.600.000","1:54","13.500.000","","","","","","null",""
"The Out-Laws","Yes","2023-07-07","21.800.000","1:37","13.500.000","","","","","","null",""
"YES DAY","Yes","2021-03-12","20.200.000","1:30","13.500.000","","","","","","null",""
"My Name Is Loh Kiwan // 로기완","Yes","2024-03-01","29.600.000","2:13","13.400.000","","","","","","null",""
"Pinkfong & Baby Shark's Space Adventure // 핑크퐁 시네마 콘서트: 우주대탐험","Yes","","14.500.000","1:05","13.400.000","","","","","","null",""
"Bullet Train","No","","27.600.000","2:07","13.000.000","","","","","","null",""
"Hunter Killer","No","","26.500.000","2:02","13.000.000","","","","","","null",""
"Kill Me If You Dare // Zabij mnie"," kochanie","Yes","2024-02-13","20.300.000","1:34","13.000.000","","","","","null",""
"Love at First Sight","Yes","2023-09-15","19.700.000","1:31","13.000.000","","","","","","null",""
"Ballerina (2016)","No","","19.300.000","1:29","13.000.000","","","","","","null",""
"Golden Kamuy // ゴールデンカムイ","No","2024-05-19","27.800.000","2:09","12.900.000","","","","","","null",""
"The Amazing Spider-Man (2012)","No","","29.000.000","2:16","12.800.000","","","","","","null",""
"The Bricklayer","No","","23.500.000","1:50","12.800.000","","","","","","null",""
"Stillwater (2021)","No","","29.500.000","2:19","12.700.000","","","","","","null",""
"Uncharted (2022)","No","","24.500.000","1:56","12.700.000","","","","","","null",""
"Spirit: Stallion of the Cimarron","No","","17.800.000","1:24","12.700.000","","","","","","null",""
"The School for Good and Evil","Yes","2022-10-19","31.400.000","2:29","12.600.000","","","","","","null",""
"Maze Runner: The Scorch Trials","No","","27.200.000","2:12","12.400.000","","","","","","null",""
"Security (2017)","No","","19.000.000","1:32","12.400.000","","","","","","null",""
"The Forever Purge","No","","21.200.000","1:43","12.300.000","","","","","","null",""
"Secrets of the Neanderthals","Yes","2024-05-02","16.400.000","1:20","12.300.000","","","","","","null",""
"Through My Window 2: Across the Sea // A través de mi ventana 2: A través del mar","Yes","2023-06-23","22.800.000","1:52","12.200.000","","","","","","null",""
"Bionic // Biônicos","Yes","2024-05-29","22.500.000","1:51","12.200.000","","","","","","null",""
"Home Alone (1990)","No","","21.000.000","1:43","12.200.000","","","","","","null",""
"Vivo","Yes","2021-08-06","20.300.000","1:40","12.200.000","","","","","","null",""
"Locked In","Yes","2023-11-01","19.700.000","1:37","12.200.000","","","","","","null",""
"Sniper: Assassin's End","No","","19.300.000","1:35","12.200.000","","","","","","null",""
"Alvin and the Chipmunks: Chipwrecked","No","","17.700.000","1:27","12.200.000","","","","","","null",""
"Ready Player One","No","","28.300.000","2:20","12.100.000","","","","","","null",""
"Jumanji: Welcome to the Jungle","No","","24.000.000","1:59","12.100.000","","","","","","null",""
"The Kissing Booth","Yes","2018-05-11","21.300.000","1:46","12.100.000","","","","","","null",""
"Where the Crawdads Sing","No","","24.900.000","2:05","12.000.000","","","","","","null",""
"Roald Dahl's Matilda The Musical","Yes","2022-12-25","24.500.000","2:02","12.000.000","","","","","","null",""
"Fury (2014)","No","","26.600.000","2:14","11.900.000","","","","","","null",""
"Forgotten Love // Znachor","Yes","2023-09-27","27.600.000","2:20","11.800.000","","","","","","null",""
"Fifty Shades of Grey","No","","24.500.000","2:05","11.800.000","","","","","","null",""
"You Are So Not Invited to My Bat Mitzvah","Yes","2023-08-25","20.400.000","1:44","11.800.000","","","","","","null",""
"Mean Girls (2004)","No","","19.100.000","1:37","11.800.000","","","","","","null",""
"Dracula Untold","No","","18.100.000","1:32","11.800.000","","","","","","null",""
"Monster High: The Movie","No","","17.500.000","1:29","11.800.000","","","","","","null",""
"Troll","Yes","2022-12-01","20.200.000","1:44","11.700.000","","","","","","null",""
"Woody Woodpecker (2017)","No","","17.800.000","1:31","11.700.000","","","","","","null",""
"Noah (2014)","No","","26.400.000","2:17","11.600.000","","","","","","null",""
"Black Adam","No","","24.200.000","2:05","11.600.000","","","","","","null",""
"Twilight (2008)","No","","23.600.000","2:02","11.600.000","","","","","","null",""
"365 Days (2020)","Yes","","22.200.000","1:55","11.600.000","","","","","","null",""
"Mortal Kombat (2021)","No","","21.200.000","1:50","11.600.000","","","","","","null",""
"Maze Runner: Death Cure","No","","27.700.000","2:25","11.500.000","","","","","","null",""
"Fifty Shades Freed","No","","20.100.000","1:45","11.500.000","","","","","","null",""
"Shrek Forever After","No","","18.200.000","1:35","11.500.000","","","","","","null",""
"Fast Five","No","","24.800.000","2:10","11.400.000","","","","","","null",""
"Extraction","Yes","2020-04-24","22.500.000","1:58","11.400.000","","","","","","null",""
"The Vow (2012)","No","","19.700.000","1:44","11.400.000","","","","","","null",""
"Skyscraper (2018)","No","","19.400.000","1:42","11.400.000","","","","","","null",""
"The Monkey King","Yes","2023-08-18","18.500.000","1:37","11.400.000","","","","","","null",""
"Captain Underpants: The First Epic Movie","No","","16.900.000","1:29","11.400.000","","","","","","null",""
"Baki Hanma VS Kengan Ashura // 範馬刃牙VSケンガンアシュラ","Yes","2024-06-06","12.000.000","1:03","11.400.000","","","","","","null",""
"Space Jam: A New Legacy","No","","21.600.000","1:55","11.300.000","","","","","","null",""
"Four Brothers","No","","20.500.000","1:49","11.300.000","","","","","","null",""
"The Adam Project","Yes","2022-03-11","20.200.000","1:47","11.300.000","","","","","","null",""
"Me Time","Yes","2022-08-26","19.500.000","1:44","11.300.000","","","","","","null",""
"F9: The Fast Saga","No","","26.600.000","2:23","11.200.000","","","","","","null",""
"NYAD","Yes","2023-11-03","22.600.000","2:01","11.200.000","","","","","","null",""
"The Man from Toronto","Yes","2022-06-24","20.900.000","1:52","11.200.000","","","","","","null",""
"The Fast and the Furious","No","","19.700.000","1:46","11.200.000","","","","","","null",""
"Nimona","Yes","2023-06-30","19.300.000","1:43","11.200.000","","","","","","null",""
"Sonic the Hedgehog (2020)","No","","18.900.000","1:41","11.200.000","","","","","","null",""
"Pain Hustlers","Yes","2023-10-27","23.100.000","2:05","11.100.000","","","","","","null",""
"Inheritance (2020)","No","","20.600.000","1:51","11.100.000","","","","","","null",""
"Triple Frontier","Yes","2019-03-13","23.100.000","2:06","11.000.000","","","","","","null",""
"AKA","Yes","2023-04-28","22.700.000","2:04","11.000.000","","","","","","null",""
"Jurassic World","No","","22.700.000","2:04","11.000.000","","","","","","null",""
"Over the Moon","Yes","2020-10-23","18.500.000","1:41","11.000.000","","","","","","null",""
"Elvis (2022)","No","","26.200.000","2:39","9.900.000","","","","","","null",""
"Murder Mubarak // मर्डर मुबारक","Yes","2024-03-15","23.400.000","2:22","9.900.000","","","","","","null",""
"Split (2016)","No","","19.400.000","1:57","9.900.000","","","","","","null",""
"Day Shift","Yes","2022-08-12","18.700.000","1:53","9.900.000","","","","","","null",""
"Alvin and the Chipmunks: The Squeakquel","No","","14.700.000","1:29","9.900.000","","","","","","null",""
"Death Whisperer // ธี่หยด","Yes","","19.700.000","2:01","9.800.000","","","","","","null",""
"Wingwomen // Voleuses","Yes","2023-11-01","19.000.000","1:56","9.800.000","","","","","","null",""
"The Flintstones (1994)","No","","14.800.000","1:31","9.800.000","","","","","","null",""
"The After","Yes","2023-10-25","3.100.000","0:19","9.800.000","","","","","","null",""
"Divergent","No","","22.600.000","2:20","9.700.000","","","","","","null",""
"Lou","Yes","2022-09-23","17.600.000","1:49","9.700.000","","","","","","null",""
"Home Alone 2: Lost in New York","No","","19.100.000","2:00","9.600.000","","","","","","null",""
"Trolls Holiday Special","Yes","","4.300.000","0:27","9.600.000","","","","","","null",""
"The Postcard Killings","No","","16.400.000","1:44","9.500.000","","","","","","null",""
"Redemption (2013)","No","","15.800.000","1:40","9.500.000","","","","","","null",""
"After Everything","No","2024-01-11","14.700.000","1:33","9.500.000","","","","","","null",""
"Alvin and the Chipmunks: The Road Chip","No","","14.500.000","1:32","9.500.000","","","","","","null",""
"Bee Movie","No","","14.500.000","1:32","9.500.000","","","","","","null",""
"Sniper: Reloaded","No","","14.400.000","1:31","9.500.000","","","","","","null",""
"The Price of Nonna's Inheritance // Ricchi a tutti i costi","No","2024-06-04","14.300.000","1:30","9.500.000","","","","","","null",""
"Jack Reacher: Never Go Back","No","","18.500.000","1:58","9.400.000","","","","","","null",""
"Godzilla vs. Kong","No","","17.700.000","1:53","9.400.000","","","","","","null",""
"Under the Tuscan Sun","No","","17.700.000","1:53","9.400.000","","","","","","null",""
"2 Fast 2 Furious","No","","17.000.000","1:48","9.400.000","","","","","","null",""
"The Lego Movie","No","","15.900.000","1:41","9.400.000","","","","","","null",""
"From the Ashes // جرس إنذار","Yes","2024-01-18","14.400.000","1:32","9.400.000","","","","","","null",""
"Girls to Buy // Dziewczyny z Dubaju","No","","22.400.000","2:24","9.300.000","","","","","","null",""
"World War Z","No","","18.100.000","1:57","9.300.000","","","","","","null",""
"WILL // WIL","Yes","2024-01-31","17.600.000","1:54","9.300.000","","","","","","null",""
"The Guilt Trip","No","","14.900.000","1:36","9.300.000","","","","","","null",""
"Nobody (2021)","No","","14.300.000","1:32","9.300.000","","","","","","null",""
"Bita e os Animais","No","","4.200.000","0:27","9.300.000","","","","","","null",""
"Chip and Potato: Chip’s Holiday","No","2022-06-27","3.700.000","0:24","9.300.000","","","","","","null",""
"Glass Onion: A Knives Out Mystery","Yes","2022-12-23","21.600.000","2:21","9.200.000","","","","","","null",""
"The Hunger Games","No","","21.000.000","2:17","9.200.000","","","","","","null",""
"Hustle","Yes","2022-06-08","18.000.000","1:58","9.200.000","","","","","","null",""
"Letters to God","No","","16.800.000","1:49","9.200.000","","","","","","null",""
"A Beautiful Life","Yes","2023-06-01","15.300.000","1:40","9.200.000","","","","","","null",""
"The Bad Guys (2022)","No","","15.300.000","1:40","9.200.000","","","","","","null",""
"Penguins of Madagascar: The Movie","No","","14.100.000","1:32","9.200.000","","","","","","null",""
"Mr. & Mrs. Smith (2005)","No","","18.100.000","2:00","9.100.000","","","","","","null",""
"That's My Boy (2012)","No","","17.400.000","1:55","9.100.000","","","","","","null",""
"Secret Obsession","Yes","2019-07-18","14.800.000","1:38","9.100.000","","","","","","null",""
"Faithfully Yours","No","2023-05-17","14.400.000","1:35","9.100.000","","","","","","null",""
"Ballerina // 발레리나","Yes","2023-10-06","14.200.000","1:34","9.100.000","","","","","","null",""
"Fast & Furious 6","No","","19.600.000","2:10","9.000.000","","","","","","null",""
"Set It Up","Yes","2018-06-15","15.900.000","1:46","9.000.000","","","","","","null",""
"Four Good Days","No","","15.200.000","1:41","9.000.000","","","","","","null",""
"The Croods: A New Age","No","","14.200.000","1:35","9.000.000","","","","","","null",""
"Barbie Dolphin Magic","No","","9.600.000","1:04","9.000.000","","","","","","null",""
"Miraculous World: New York"," United Heroez","No","","9.200.000","1:01","9.000.000","","","","","null",""
"Justice League (2017)","No","","17.500.000","2:00","8.800.000","","","","","","null",""
"The Twilight Saga: Breaking Dawn: Part 2","No","","16.800.000","1:55","8.800.000","","","","","","null",""
"Get Out (2017)","No","","15.200.000","1:44","8.800.000","","","","","","null",""
"Blood & Gold","Yes","2023-05-26","14.500.000","1:39","8.800.000","","","","","","null",""
"The Hunger Games: Catching Fire","No","","21.200.000","2:26","8.700.000","","","","","","null",""
"Colombiana","No","","16.200.000","1:52","8.700.000","","","","","","null",""
"The Favourite","No","","17.300.000","2:01","8.600.000","","","","","","null",""
"The Secret: Dare to Dream","No","","15.500.000","1:48","8.600.000","","","","","","null",""
"Happy Gilmore","No","","13.200.000","1:32","8.600.000","","","","","","null",""
"Dog Gone Trouble","No","2021-05-28","12.600.000","1:28","8.600.000","","","","","","null",""
"Battleship","No","","18.500.000","2:11","8.500.000","","","","","","null",""
"Fair Play","Yes","2023-10-06","16.200.000","1:55","8.500.000","","","","","","null",""
"Ticket to Paradise (2022)","No","","14.800.000","1:44","8.500.000","","","","","","null",""
"Tyson's Run","No","","14.600.000","1:43","8.500.000","","","","","","null",""
"See You on Venus","No","","13.500.000","1:35","8.500.000","","","","","","null",""
"Cold Pursuit","No","","16.500.000","1:58","8.400.000","","","","","","null",""
"Wild (2014)","No","","16.200.000","1:56","8.400.000","","","","","","null",""
"Charlie and the Chocolate Factory","No","","16.100.000","1:55","8.400.000","","","","","","null",""
"Jurassic World: Dominion","No","","20.400.000","2:27","8.300.000","","","","","","null",""
"Amar Singh Chamkila // अमर सिंह चमकीला","Yes","2024-04-12","20.100.000","2:26","8.300.000","","","","","","null",""
"Joker (2019)","No","","16.800.000","2:02","8.300.000","","","","","","null",""
"Dumb Money","No","","14.500.000","1:45","8.300.000","","","","","","null",""
"How to Rob a Bank","Yes","2024-06-05","12.200.000","1:28","8.300.000","","","","","","null",""
