"Damsel","Yes","2024-03-08","263.700.000","1:50","143.800.000","","","","","","null",""
"Lift","Yes","2024-01-12","230.800.000","1:47","129.400.000","","","","","","null",""
"Society of the Snow // La sociedad de la nieve","Yes","2024-01-04","252.500.000","2:26","103.800.000","","","","","","null",""
"Under Paris // Sous la Seine","Yes","2024-06-05","146.800.000","1:44","84.700.000","","","","","","null",""
"The Super Mario Bros. Movie","No","","123.100.000","1:32","80.300.000","","","","","","null",""
"Mother of the Bride","Yes","2024-05-09","116.500.000","1:30","77.700.000","","","","","","null",""
"Atlas","Yes","2024-05-24","154.200.000","2:00","77.100.000","","","","","","null",""
"Minions","No","","110.200.000","1:31","72.700.000","","","","","","null",""
"Irish Wish","Yes","2024-03-15","113.000.000","1:34","72.100.000","","","","","","null",""
"The Boss Baby","No","","103.800.000","1:38","63.600.000","","","","","","null",""
"Despicable Me 3","No","","92.400.000","1:30","61.600.000","","","","","","null",""
"Woody Woodpecker Goes to Camp","Yes","2024-04-12","95.600.000","1:40","57.400.000","","","","","","null",""
"Shrek","No","","85.300.000","1:30","56.900.000","","","","","","null",""
"Rebel Moon — Part Two: The Scargiver","Yes","2024-04-19","115.300.000","2:04","55.800.000","","","","","","null",""
"Rebel Moon — Part One: A Child of Fire","Yes","2023-12-21","122.800.000","2:16","54.200.000","","","","","","null",""
"Leo","Yes","2023-11-21","96.200.000","1:47","53.900.000","","","","","","null",""
"Badland Hunters // 황야","Yes","2024-01-26","97.300.000","1:49","53.600.000","","","","","","null",""
"The Equalizer 3","No","","97.200.000","1:49","53.500.000","","","","","","null",""
"Mea Culpa","Yes","2024-02-23","105.500.000","2:00","52.800.000","","","","","","null",""
"The Tearsmith // Fabbricante di lacrime","Yes","2024-04-04","92.200.000","1:45","52.700.000","","","","","","null",""
"Trigger Warning","Yes","2024-06-21","92.900.000","1:47","52.100.000","","","","","","null",""
"The Abyss // Avgrunden","No","2024-02-16","84.900.000","1:43","49.500.000","","","","","","null",""
"What Jennifer Did","Yes","2024-04-10","68.900.000","1:27","47.500.000","","","","","","null",""
"The Wages of Fear // Le salaire de la peur","Yes","2024-03-29","83.500.000","1:46","47.300.000","","","","","","null",""
"Orion and the Dark","Yes","2024-02-02","71.700.000","1:33","46.300.000","","","","","","null",""
"Code 8 Part II","Yes","2024-02-28","76.100.000","1:40","45.700.000","","","","","","null",""
"Trolls","No","","66.200.000","1:33","42.700.000","","","","","","null",""
"Colors of Evil: Red // Kolory zła: Czerwień","Yes","2024-05-29","78.700.000","1:52","42.200.000","","","","","","null",""
"Leave the World Behind","Yes","2023-12-08","95.900.000","2:22","40.500.000","","","","","","null",""
"Sing 2","No","","74.000.000","1:50","40.400.000","","","","","","null",""
"Sixty Minutes // 60 Minuten","Yes","2024-01-19","60.100.000","1:30","40.100.000","","","","","","null",""
"Top Gun: Maverick","No","","80.400.000","2:10","37.100.000","","","","","","null",""
"Lover"," Stalker"," Killer","Yes","2024-02-09","55.900.000","1:31","36.900.000","","","","null",""
"Hotel Transylvania 2","No","","54.700.000","1:30","36.500.000","","","","","","null",""
"Players","Yes","2024-02-14","61.100.000","1:45","34.900.000","","","","","","null",""
"Heart of the Hunter","Yes","2024-03-29","61.700.000","1:47","34.600.000","","","","","","null",""
"Despicable Me 2","No","","55.800.000","1:38","34.200.000","","","","","","null",""
"Sing (2016)","No","","60.500.000","1:48","33.600.000","","","","","","null",""
"Through My Window 3: Looking at You // A través de mi ventana 3: A través de tu mirada","Yes","2024-02-23","58.400.000","1:45","33.400.000","","","","","","null",""
"Thelma the Unicorn","Yes","2024-05-17","51.200.000","1:38","31.300.000","","","","","","null",""
"Hit Man","No","2024-06-07","59.800.000","1:56","30.900.000","","","","","","null",""
"Dr. Seuss' The Grinch","No","","43.900.000","1:26","30.600.000","","","","","","null",""
"Spaceman","Yes","2024-03-01","54.000.000","1:49","29.700.000","","","","","","null",""
"Sonic the Hedgehog 2","No","","61.200.000","2:04","29.600.000","","","","","","null",""
"The Croods","No","","47.700.000","1:38","29.200.000","","","","","","null",""
"We Can Be Heroes","Yes","2020-12-25","49.000.000","1:41","29.100.000","","","","","","null",""
"Ice Age: Dawn of the Dinosaurs","No","","45.200.000","1:35","28.500.000","","","","","","null",""
"No Pressure // Nic na siłę","Yes","2024-03-27","52.400.000","1:53","27.800.000","","","","","","null",""
"Anyone But You","No","","47.600.000","1:44","27.500.000","","","","","","null",""
"Godzilla Minus One // ゴジラ-1.0","No","","57.500.000","2:06","27.400.000","","","","","","null",""
"The Mother","Yes","2023-05-12","53.000.000","1:57","27.200.000","","","","","","null",""
"Madame Web","No","","52.500.000","1:56","27.200.000","","","","","","null",""
"Ice Age: Collision Course","No","","44.000.000","1:37","27.200.000","","","","","","null",""
"A Family Affair","Yes","2024-06-28","50.900.000","1:54","26.800.000","","","","","","null",""
"Love"," Divided // Pared con pared","Yes","2024-04-12","43.800.000","1:38","26.800.000","","","","","null",""
"Honeymoonish // شهر زي العسل","Yes","2024-04-29","44.500.000","1:40","26.700.000","","","","","","null",""
"Despicable Me","No","","42.300.000","1:35","26.700.000","","","","","","null",""
"Extraction 2","Yes","2023-06-16","55.000.000","2:04","26.600.000","","","","","","null",""
"Red Notice","Yes","2021-11-12","51.400.000","1:58","26.100.000","","","","","","null",""
"The Secret Life of Pets","No","","37.300.000","1:27","25.700.000","","","","","","null",""
"The Greatest Night in Pop","Yes","2024-01-29","40.900.000","1:37","25.300.000","","","","","","null",""
"Chicken Run: Dawn of the Nugget","Yes","2023-12-15","42.900.000","1:42","25.200.000","","","","","","null",""
"The Courier // El correo","No","","42.000.000","1:42","24.700.000","","","","","","null",""
"Glass (2019)","No","","51.400.000","2:09","23.900.000","","","","","","null",""
"Ruby Gillman"," Teenage Kraken","No","","35.500.000","1:31","23.400.000","","","","","null",""
"Madagascar (2005)","No","","33.500.000","1:26","23.400.000","","","","","","null",""
"Minions & More Volume 2","Yes","","20.300.000","0:53","23.000.000","","","","","","null",""
"Unfrosted","Yes","2024-05-03","36.100.000","1:36","22.600.000","","","","","","null",""
"Shrek 2","No","","34.600.000","1:33","22.300.000","","","","","","null",""
"Dune (2021)","No","","56.900.000","2:35","22.000.000","","","","","","null",""
"Smurfs: The Lost Village","No","","33.000.000","1:30","22.000.000","","","","","","null",""
"Animal // ऐनिमल","Yes","","72.500.000","3:21","21.600.000","","","","","","null",""
"Headspace: Unwind Your Mind","Yes","2021-06-15","5.400.000","0:15","21.600.000","","","","","","null",""
"The Sea Beast","Yes","2022-07-08","42.700.000","1:59","21.500.000","","","","","","null",""
"Art of Love // Romantik Hırsız","Yes","2024-03-14","34.500.000","1:39","20.900.000","","","","","","null",""
"Code 8 (2019)","No","","34.500.000","1:39","20.900.000","","","","","","null",""
"Hotel Transylvania (2012)","No","","32.100.000","1:32","20.900.000","","","","","","null",""
"The Little Things (2021)","No","","44.000.000","2:08","20.600.000","","","","","","null",""
"Back to the Outback","Yes","2021-12-10","32.300.000","1:36","20.200.000","","","","","","null",""
"Einstein and the Bomb","Yes","2024-02-16","25.700.000","1:17","20.000.000","","","","","","null",""
"Laapataa Ladies // लापता लेडीज़","Yes","","41.100.000","2:04","19.900.000","","","","","","null",""
"Mindcage","No","","32.000.000","1:37","19.800.000","","","","","","null",""
"Turbo (2013)","No","","31.700.000","1:36","19.800.000","","","","","","null",""
"Home (2015)","No","","31.000.000","1:34","19.800.000","","","","","","null",""
"Fighter // फ़ाइटर","No","","53.600.000","2:44","19.600.000","","","","","","null",""
"The Angry Birds Movie","No","","31.900.000","1:38","19.500.000","","","","","","null",""
"Crew // क्रू","No","","38.900.000","2:01","19.300.000","","","","","","null",""
"Pretty Woman (1990)","No","","38.200.000","1:59","19.300.000","","","","","","null",""
"Scoop","Yes","2024-04-05","33.200.000","1:43","19.300.000","","","","","","null",""
"The Boss Baby: Get That Baby!","Yes","2020-09-01","7.700.000","0:24","19.300.000","","","","","","null",""
"John Wick: Chapter 3 - Parabellum","No","","41.800.000","2:11","19.100.000","","","","","","null",""
"The Beautiful Game","Yes","2024-03-29","39.900.000","2:06","19.000.000","","","","","","null",""
"Heart of Stone","Yes","2023-08-11","39.500.000","2:05","19.000.000","","","","","","null",""
