"Sultan Agung: Throne","No"
"Sun","No"
"Sun","No"
"Wedded","No"
"Leo","96.000.000"
"The Green Mile","900.000"
"Kal Ho Naa Ho // कल हो ना हो","900.000"
"Inside Men: The Original // 내부자들: 디 오리지널","900.000"
"Ala Vaikunthapurramuloo","900.000"
"Dil Dhadakne Do // दिल धड़कने दो","900.000"
