"Fool Me Once: Limited Series","107.500.000"
"Bridgerton: Season 3","91.900.000"
"Baby Reindeer: Limited Series","87.600.000"
"The Gentlemen: Season 1","75.900.000"
"Avatar The Last Airbender: Season 1","71.100.000"
"Griselda: Limited Series","69.200.000"
"American Nightmare: Season 1","55.000.000"
"3 Body Problem: Season 1","52.400.000"
"Berlin: Season 1 // Berlín: Temporada 1","48.500.000"
"One Day: Limited Series","39.400.000"
